rol,tecnologia,seniority,cluster,curso_recomendado,link
Desarrollador,Python,Junior,0,Python Intermedio,https://udeUngs.com/python-intermedio
Desarrollador,Python,Semi Senior,2,Python Avanzado,https://udeUngs.com/python-avanzado
Desarrollador,Python,Senior,2,Machine Learning con Python,https://udeUngs.com/ml-python
Desarrollador,Java,Junior,0,Java Intermedio,https://udeUngs.com/java-intermedio
Desarrollador,Java,Senior,2,Spring Boot,https://udeUngs.com/spring-boot
Desarrollador,Java,Semi Senior,0,Java Avanzado,https://udeUngs.com/java-avanzado
Desarrollador,JavaScript,Junior,0,JS Intermedio,https://udeUngs.com/js-intermedio
Desarrollador,JavaScript,Semi Senior,0,JS Avanzado,https://udeUngs.com/js-avanzado
Desarrollador,JavaScript,Senior,2,React,https://udeUngs.com/react
QA Manual,Web,Junior,0,Testing Web Intermedio,https://udeUngs.com/testing-web-intermedio
QA Manual,Web,Semi Senior,3,Testing Web Avanzado,https://udeUngs.com/testing-web-avanzado
QA Manual,Web,Senior,1,Usabilidad Web,https://udeUngs.com/usabilidad-web
QA Automation,Selenium,Junior,3,Selenium Intermedio,https://udeUngs.com/selenium-intermedio
QA Automation,Selenium,Semi Senior,3,Selenium Avanzado,https://udeUngs.com/selenium-avanzado
QA Automation,Selenium,Senior,1,Automatización con Python,https://udeUngs.com/selenium-python
QA Automation,Cypress,Junior,3,Cypress Intermedio,https://udeUngs.com/cypress-intermedio
QA Automation,Cypress,Semi Senior,3,Cypress Avanzado,https://udeUngs.com/cypress-avanzado
QA Automation,Cypress,Senior,1,Test Automation Frameworks,https://udeUngs.com/test-frameworks
Scrum Master,Scrum,Junior,0,Scrum Intermedio,https://udeUngs.com/scrum-intermedio
Scrum Master,Scrum,Senior,1,Gestión Ágil de Proyectos,https://udeUngs.com/gestion-agil
Scrum Master,Scrum,Semi Senior,3,Scrum Avanzado,https://udeUngs.com/scrum-avanzado
QA Manual,Mobile,Junior,0,Testing Mobile Intermedio,https://udeUngs.com/testing-mobile-intermedio
QA Manual,Mobile,Senior,1,Automatización Mobile,https://udeUngs.com/testing-mobile-auto
QA Automation,Python,Semi Senior,3,Python Avanzado,https://udeUngs.com/python-avanzado
QA Automation,Java,Junior,3,Java Intermedio,https://udeUngs.com/java-intermedio
QA Automation,Java,Semi Senior,3,Java Avanzado,https://udeUngs.com/java-avanzado
QA Automation,Java,Senior,1,Spring Boot,https://udeUngs.com/spring-boot
Desarrollador,Node.js,Junior,0,Node Intermedio,https://udeUngs.com/node-intermedio
Desarrollador,Node.js,Semi Senior,0,Node Avanzado,https://udeUngs.com/node-avanzado
Desarrollador,Node.js,Senior,2,APIs con Express,https://udeUngs.com/express
Desarrollador,PHP,Junior,0,PHP Intermedio,https://udeUngs.com/php-intermedio
Desarrollador,PHP,Senior,2,Laravel,https://udeUngs.com/laravel
Desarrollador,.NET,Semi Senior,2,.NET Avanzado,https://udeUngs.com/dotnet-avanzado
Desarrollador,.NET,Junior,0,.NET Intermedio,https://udeUngs.com/dotnet-intermedio
Desarrollador,.NET,Senior,2,Microservicios con .NET,https://udeUngs.com/dotnet-microservicios
QA Automation,Cypress,Junior,3,Cypress Intermedio,https://udeUngs.com/cypress-intermedio
QA Automation,Cypress,Senior,1,Test Automation Frameworks,https://udeUngs.com/test-frameworks
Desarrollador,SQL,Junior,0,SQL Intermedio,https://udeUngs.com/sql-intermedio
Desarrollador,SQL,Senior,2,Optimización de Consultas,https://udeUngs.com/sql-optimizacion
UX,UX/UI,Junior,4,UX/UI Intermedio,https://udeUngs.com/uxui-intermedio
UX,UX/UI,Semi Senior,4,UX Research,https://udeUngs.com/ux-research
UX,UX/UI,Senior,4,Design Systems Avanzado,https://udeUngs.com/design-systems
UX,UX/UI,Junior,4,UX/UI Intermedio,https://udeUngs.com/uxui-intermedio
UX,UX/UI,Senior,4,Design Systems Avanzado,https://udeUngs.com/design-systems
UX,UX/UI,Semi Senior,4,UX Research,https://udeUngs.com/ux-research
Desarrollador,Java,Junior,0,Java Intermedio,https://udeUngs.com/java-intermedio
Desarrollador,Python,Senior,2,Machine Learning con Python,https://udeUngs.com/ml-python
QA Manual,Mobile,Semi Senior,3,Testing Mobile Avanzado,https://udeUngs.com/testing-mobile-avanzado
QA Automation,Selenium,Semi Senior,3,Selenium Avanzado,https://udeUngs.com/selenium-avanzado
Scrum Master,Scrum,Junior,0,Scrum Intermedio,https://udeUngs.com/scrum-intermedio
